(145366, 4407, 85, 44, 63)
(145367, 4606, 94, 0, 46)
(145368, 4376, 87, 40, 41)
(145369, 4700, 8, 78, 35)
(145370, 4498, 13, 95, 28)
(145371, 4441, 56, 75, 16)
(145372, 4555, 8, 33, 8)
(145373, 27, 51, 62, 21)
(145374, 138, 61, 69, 50)
(145375, 4644, 31, 60, 36)
(145376, 4320, 18, 81, 70)
(145377, 138, 32, 41, 92)
(145378, 4376, 47, 94, 86)
(145379, 4498, 44, 34, 24)
(145380, 4590, 58, 19, 55)
(145381, 27, 100, 61, 60)
(145382, 4407, 38, 87, 58)
(145383, 4348, 39, 80, 32)
(145384, 4407, 28, 11, 62)
(145385, 4555, 83, 13, 23)
(145386, 4590, 81, 9, 49)
(145387, 138, 83, 100, 87)
(145388, 4320, 92, 50, 84)
(145389, 4376, 32, 85, 13)
(145390, 4441, 31, 70, 20)
(145391, 4470, 62, 55, 66)
(145392, 27, 94, 32, 77)
(145393, 4441, 90, 52, 26)
(145394, 4320, 14, 39, 88)
(145395, 27, 44, 43, 93)
(145396, 4555, 69, 67, 92)
(145397, 4376, 52, 3, 73)
(145398, 4498, 50, 12, 70)
(145399, 4583, 60, 4, 99)
(145400, 4348, 11, 68, 34)
(145401, 138, 8, 30, 25)
(145402, 4348, 20, 62, 33)
(145403, 4320, 16, 11, 60)
(145404, 4583, 31, 82, 37)
(145405, 4470, 63, 95, 81)
(145406, 4498, 9, 7, 70)
(145407, 4376, 92, 39, 58)
(145408, 4441, 78, 41, 69)
(145409, 4612, 84, 35, 60)
(145410, 27, 83, 51, 20)
(145411, 4320, 91, 11, 85)
(145412, 4470, 70, 64, 92)
(145413, 4376, 5, 89, 55)
(145414, 4606, 4, 70, 100)
(145415, 4644, 45, 70, 49)
(145416, 4583, 71, 15, 54)
(145417, 4348, 0, 62, 85)
(145418, 27, 3, 25, 35)
(145419, 138, 99, 72, 52)
(145420, 138, 25, 90, 21)
(145421, 4320, 99, 72, 35)
(145422, 27, 12, 42, 66)
(145423, 4555, 22, 64, 56)
(145424, 4348, 48, 85, 49)
(145425, 4376, 96, 73, 75)
(145426, 4441, 31, 19, 21)
(145427, 4583, 5, 0, 67)
(145428, 4407, 91, 31, 45)
(145429, 4407, 41, 12, 1)
(145430, 4320, 23, 37, 57)
(145431, 4441, 27, 40, 84)
(145432, 4555, 34, 31, 14)
(145433, 4590, 25, 35, 62)
(145434, 4583, 58, 92, 98)
(145435, 4348, 60, 17, 0)
(145436, 27, 71, 38, 87)
(145437, 138, 82, 0, 59)
(145438, 4470, 97, 17, 26)
(145439, 27, 47, 31, 35)
(145440, 4612, 53, 5, 54)
(145441, 4320, 11, 6, 81)
(145442, 4407, 22, 52, 4)
(145443, 4376, 4, 36, 59)
(145444, 4555, 76, 78, 58)
(145445, 138, 76, 14, 69)
(145446, 4348, 44, 17, 93)
(145447, 4407, 21, 38, 86)
(145448, 4590, 67, 87, 80)
(145449, 4320, 33, 68, 61)
(145450, 4470, 73, 61, 75)
(145451, 4583, 0, 95, 33)
(145452, 4498, 82, 17, 4)
(145453, 4348, 91, 89, 0)
(145454, 27, 32, 51, 84)
(145455, 138, 82, 92, 82)
(145456, 27, 33, 64, 37)
(145457, 4590, 41, 2, 8)
(145458, 4348, 5, 90, 12)
(145459, 4498, 30, 20, 13)
(145460, 138, 74, 61, 7)
(145461, 4320, 90, 47, 22)
(145462, 4407, 61, 20, 61)
(145463, 4606, 48, 47, 58)
(145464, 4470, 93, 3, 84)
(145465, 4407, 98, 94, 81)
(145466, 4441, 67, 24, 95)
(145467, 4320, 52, 85, 5)
(145468, 4470, 67, 70, 27)
(145469, 4555, 68, 0, 64)
(145470, 4612, 1, 23, 2)
(145471, 4348, 23, 1, 84)
(145472, 27, 96, 85, 0)
(145473, 138, 58, 78, 86)
(145474, 4644, 99, 63, 29)
(145475, 4498, 20, 85, 96)
(145476, 4700, 48, 92, 16)
(145477, 4320, 85, 26, 32)
(145478, 4376, 0, 62, 94)
(145479, 138, 62, 73, 18)
(145480, 4441, 6, 12, 53)
(145481, 27, 94, 41, 100)
(145482, 4348, 34, 34, 31)
(145483, 4407, 67, 31, 87)
(145484, 4376, 42, 12, 0)
(145485, 4498, 26, 0, 80)
(145486, 4470, 83, 84, 13)
(145487, 4320, 38, 2, 81)
(145488, 4583, 61, 46, 81)
(145489, 4348, 1, 97, 6)
(145490, 27, 16, 52, 63)
(145491, 138, 41, 2, 71)
(145492, 4590, 90, 72, 93)
(145493, 27, 24, 66, 59)
(145494, 4320, 65, 84, 86)
(145495, 4470, 18, 75, 78)
(145496, 4376, 16, 35, 8)
(145497, 4555, 46, 16, 62)
(145498, 4441, 94, 30, 31)
(145499, 4407, 19, 17, 22)
(145500, 138, 58, 66, 55)
(145501, 4320, 74, 65, 66)
(145502, 4376, 63, 42, 14)
(145503, 4441, 61, 31, 98)
(145504, 4606, 84, 84, 11)
(145505, 4498, 57, 25, 53)
(145506, 4612, 93, 63, 45)
(145507, 4348, 100, 8, 7)
(145508, 27, 30, 38, 69)
(145509, 138, 12, 18, 85)
(145510, 4777, 4, 80, 26)
(145511, 138, 85, 53, 84)
(145512, 4470, 81, 64, 37)
(145513, 4376, 0, 12, 52)
(145514, 4407, 19, 74, 56)
(145515, 4441, 65, 35, 58)
(145516, 4606, 17, 61, 20)
(145517, 4348, 84, 22, 98)
(145518, 27, 23, 74, 57)
(145519, 4498, 73, 52, 92)
(145520, 27, 69, 72, 71)
(145521, 4407, 98, 81, 34)
(145522, 4376, 27, 73, 58)
(145523, 4555, 80, 79, 80)
(145524, 4606, 34, 97, 13)
(145525, 4700, 12, 89, 50)
(145526, 4441, 86, 28, 56)
(145527, 138, 87, 16, 49)
(145528, 4407, 37, 2, 76)
(145529, 4644, 73, 46, 78)
(145530, 4590, 66, 51, 77)
(145531, 4320, 4, 18, 98)
(145532, 4498, 20, 65, 47)
(145533, 4376, 91, 8, 63)
(145534, 4348, 46, 44, 69)
(145535, 27, 19, 44, 80)
(145536, 138, 62, 13, 78)
(145537, 4590, 83, 60, 85)
(145538, 4320, 96, 19, 0)
(145539, 4470, 28, 26, 11)
(145540, 4555, 59, 58, 47)
